exam,bank_q,philosophy,culture,xuanbi1,xuanbi2,mind,reasoning,bixiu2,bixiu3,orphans
BJ-2020-BJ-GAOKAO,21,6,4,1,0,0,0,11,4,0
BJ-2021-BJ-GAOKAO,21,6,6,4,0,0,0,9,4,0
BJ-2022-BJ-GAOKAO,21,8,5,5,3,2,2,7,3,0
BJ-2023-BJ-GAOKAO,20,4,3,2,4,1,2,5,5,0
BJ-2023-CY-ERMO,21,0,0,0,0,0,0,2,5,14
BJ-2023-CY-YIMO,21,0,0,0,0,0,0,4,2,15
BJ-2023-DC-ERMO,21,0,0,0,0,0,0,6,4,11
BJ-2023-DC-YIMO,21,0,0,0,0,0,0,11,6,7
BJ-2023-FT-ERMO,22,0,0,0,0,0,0,7,3,12
BJ-2023-FT-YIMO,22,0,0,0,0,0,0,5,3,15
BJ-2023-HD-ERMO,21,0,0,0,0,0,0,12,3,9
BJ-2023-HD-QIZHONG,23,0,0,0,0,0,0,16,6,4
BJ-2023-HD-YIMO,21,0,0,0,0,0,0,12,5,7
BJ-2023-XC-ERMO,21,0,0,0,0,0,0,14,7,4
BJ-2023-XC-YIMO,21,0,0,0,0,0,0,9,4,9
BJ-2024-BJ-GAOKAO,21,7,4,3,3,1,4,5,5,0
BJ-2024-CY-ERMO,20,4,3,4,3,1,3,7,5,0
BJ-2024-CY-QIZHONG,20,8,4,2,0,1,7,4,0,0
BJ-2024-CY-YIMO,21,4,2,2,4,1,2,6,4,0
BJ-2024-DC-ERMO,21,4,4,3,4,1,1,7,5,3
BJ-2024-DC-YIMO,21,4,5,3,4,1,3,6,5,0
BJ-2024-FT-ERMO,21,2,3,3,3,1,4,6,7,2
BJ-2024-FT-YIMO,21,3,3,2,3,1,3,5,4,2
BJ-2024-HD-ERMO,21,5,4,3,4,1,2,4,5,0
BJ-2024-HD-QIZHONG,21,0,1,5,1,0,0,6,8,6
BJ-2024-HD-YIMO,20,4,3,3,3,1,3,5,3,1
BJ-2024-SJS-YIMO,20,4,6,4,4,2,2,4,3,1
BJ-2024-SY-ERMO,20,5,5,3,3,3,2,3,5,0
BJ-2024-XC-ERMO,19,4,4,4,4,1,2,7,5,0
BJ-2024-XC-YIMO,19,6,3,4,5,2,2,4,6,0
BJ-2025-BJ-GAOKAO,21,4,3,3,3,3,3,7,4,0
BJ-2025-CP-ERMO,22,6,5,3,3,2,2,9,5,0
BJ-2025-CY-ERMO,22,7,4,3,3,1,4,5,4,0
BJ-2025-CY-QIMO,22,6,5,3,4,1,3,7,4,1
BJ-2025-CY-YIMO,21,7,2,3,3,1,4,8,7,0
BJ-2025-DC-ERMO,21,6,3,2,4,1,3,5,4,1
BJ-2025-DC-QIMO,21,6,4,2,3,2,3,6,5,1
BJ-2025-DC-YIMO,21,5,5,2,3,3,2,6,8,0
BJ-2025-FS-YIMO,20,7,3,3,3,1,2,6,5,0
BJ-2025-FT-ERMO,21,4,3,3,4,4,4,7,7,1
BJ-2025-FT-QIMO,21,5,3,2,3,2,3,8,6,0
BJ-2025-FT-YIMO,21,4,4,3,3,1,3,9,7,0
BJ-2025-HD-ERMO,22,5,3,3,3,2,2,9,5,0
BJ-2025-HD-QIMO,22,8,5,0,9,5,1,2,3,0
BJ-2025-HD-QIZHONG,22,0,0,0,0,0,0,3,0,19
BJ-2025-HD-YIMO,22,6,3,4,2,1,2,4,9,1
BJ-2025-MTG-YIMO,21,6,3,4,4,2,1,9,4,0
BJ-2025-SJS-YIMO,21,7,3,3,2,1,3,7,6,2
BJ-2025-SY-YIMO,21,3,4,3,3,1,4,7,6,0
BJ-2025-XC-ERMO,20,7,4,3,3,0,3,9,4,0
BJ-2025-XC-QIMO,21,7,3,3,3,1,3,9,5,0
BJ-2025-XC-YIMO,22,7,3,3,3,2,2,8,5,0
BJ-2025-YQ-YIMO,21,6,4,4,3,1,3,8,4,0
BJ-2026-BJ-GAOKAO,21,0,2,0,3,2,4,8,4,3
BJ-2026-CP-ERMO,22,0,0,0,0,0,0,0,5,17
BJ-2026-CP-QIMO,21,0,0,0,0,0,0,0,4,17
BJ-2026-CY-ERMO,21,7,2,3,3,3,2,7,4,0
BJ-2026-CY-QIMO,21,6,1,3,3,0,3,8,5,1
BJ-2026-CY-QIZHONG,21,8,6,4,0,3,4,8,0,1
BJ-2026-CY-YIMO,21,7,3,4,3,3,3,5,5,0
BJ-2026-DC-ERMO,21,6,3,4,3,6,4,6,6,0
BJ-2026-DC-QIMO,21,7,3,3,3,0,3,6,4,0
BJ-2026-DC-YIMO,20,9,4,4,3,2,2,8,5,0
BJ-2026-FS-ERMO,21,2,6,3,4,1,2,7,4,1
BJ-2026-FS-YIMO,18,6,4,3,3,1,3,5,6,0
BJ-2026-FT-ERMO,22,6,2,2,3,1,2,8,6,1
BJ-2026-FT-QIMO,21,5,7,0,3,1,2,10,5,0
BJ-2026-FT-YIMO,21,5,3,2,3,0,4,3,5,1
BJ-2026-HD-ERMO,21,6,1,3,3,1,6,5,5,0
BJ-2026-HD-QIMO,21,7,5,0,7,1,5,4,3,1
BJ-2026-HD-QIZHONG,22,3,2,5,0,0,0,10,9,1
BJ-2026-HD-YIMO,21,7,5,3,3,1,2,6,4,1
BJ-2026-MTG-YIMO,21,5,5,4,3,1,1,7,3,1
BJ-2026-SJS-ERMO,20,6,5,1,4,3,1,6,4,2
BJ-2026-SJS-QIMO,20,3,2,1,3,1,2,3,0,6
BJ-2026-SJS-YIMO,21,4,2,1,4,3,3,5,5,1
BJ-2026-SY-ERMO,21,4,2,3,3,1,2,9,5,2
BJ-2026-SY-YIMO,20,7,3,4,3,6,4,5,4,0
BJ-2026-TZ-QIMO,21,7,3,4,3,2,3,7,5,0
BJ-2026-TZ-YIMO,21,4,4,1,2,1,2,5,5,2
BJ-2026-XC-ERMO,20,6,2,3,4,2,1,7,5,0
BJ-2026-XC-QIMO,21,6,2,3,3,0,3,5,4,1
BJ-2026-XC-YIMO,21,6,3,3,4,0,3,6,6,0
BJ-2026-YQ-YIMO,20,5,3,3,3,1,3,5,4,1
